TIGR00001	ribosomal protein L35
TIGR01673	phage holin, LL-H family
TIGR01674	phage minor tail protein G
TIGR01675	plant acid phosphatase
TIGR01676	galactonolactone dehydrogenase
TIGR01677	plant-specific FAD-dependent oxidoreductase
TIGR01678	sugar 1,4-lactone oxidases
TIGR01679	FAD-linked oxidoreductase
TIGR01680	vegetative storage protein
TIGR01681	HAD phosphatase, family IIIC
TIGR01682	molybdopterin converting factor, subunit 1
TIGR01683	thiamine biosynthesis protein ThiS
TIGR01684	viral phosphatase
TIGR01685	magnesium-dependent phosphatase-1
TIGR01686	FkbH domain
TIGR01687	MoaD family protein
TIGR01688	D-alanine--poly(phosphoribitol) ligase, subunit 2
TIGR01689	capsule biosynthesis phosphatase
TIGR01690	integrative conjugative element protein, RAQPRD family
TIGR01691	2,3-diketo-5-methylthio-1-phosphopentane phosphatase
TIGR01692	3-hydroxyisobutyrate dehydrogenase
TIGR01693	protein-P-II uridylyltransferase
TIGR01694	methylthioadenosine phosphorylase
TIGR01695	murein biosynthesis integral membrane protein MurJ
TIGR01696	phosphopentomutase
TIGR01697	inosine/guanosine/xanthosine phosphorylase family
TIGR01698	purine nucleotide phosphorylase
TIGR01699	xanthosine phosphorylase
TIGR01700	purine nucleoside phosphorylase I, inosine and guanosine-specific
TIGR01701	oxidoreductase alpha (molybdopterin) subunit
TIGR01702	carbon-monoxide dehydrogenase, catalytic subunit
TIGR01703	hydroxylamine reductase
TIGR01704	MTA/SAH nucleosidase
TIGR01705	putative 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
TIGR01706	periplasmic nitrate reductase, large subunit
TIGR01707	type II secretion system protein I
TIGR01708	type II secretion system protein H
TIGR01709	type II secretion system protein L
TIGR01710	type II secretion system protein G
TIGR01711	type II secretion system protein J
TIGR01712	phage N-6-adenine-methyltransferase
TIGR01713	type II secretion system protein C
TIGR01714	phage replisome organizer, putative, N-terminal region
TIGR01715	phage tail assembly protein T
TIGR01716	transcriptional activator, Rgg/GadR/MutR family, C-terminal domain
TIGR01717	AMP nucleosidase
TIGR01718	uridine phosphorylase
TIGR01719	uridine phosphorylase
TIGR01720	non-ribosomal peptide synthase domain TIGR01720
TIGR01721	putative AMP nucleosidase
TIGR01722	methylmalonate-semialdehyde dehydrogenase (acylating)
TIGR01723	5,10-methenyltetrahydromethanopterin hydrogenase
TIGR01724	H2-forming N(5),N(10)-methenyltetrahydromethanopterin dehydrogenase-related protein
TIGR01725	phage protein, HK97 gp10 family
TIGR01726	amino ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine family
TIGR01727	oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain
TIGR01728	ABC transporter, substrate-binding protein, aliphatic sulfonates family
TIGR01729	taurine ABC transporter, periplasmic binding protein
TIGR01730	efflux transporter, RND family, MFP subunit
TIGR01731	adhesin HecA family 20-residue repeat (two copies)
TIGR01732	conserved hypothetical protein
TIGR01733	amino acid adenylation domain
TIGR01734	D-alanine--poly(phosphoribitol) ligase, subunit 1
TIGR01735	phosphoribosylformylglycinamidine synthase
TIGR01736	phosphoribosylformylglycinamidine synthase II
TIGR01737	phosphoribosylformylglycinamidine synthase I
TIGR01738	pimelyl-[acyl-carrier protein] methyl ester esterase
TIGR01739	herpesvirus tegument protein/v-FGAM-synthase
TIGR01740	orotidine 5'-phosphate decarboxylase
TIGR01741	conserved hypothetical protein
TIGR01742	Staphylococcus tandem lipoproteins
TIGR01743	pur operon repressor PurR
TIGR01744	xanthine phosphoribosyltransferase
TIGR01745	aspartate-semialdehyde dehydrogenase
TIGR01746	thioester reductase domain
TIGR01747	diaminopropionate ammonia-lyase family
TIGR01748	L-rhamnose isomerase
TIGR01749	beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabA
TIGR01750	beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ
TIGR01751	crotonyl-CoA reductase
TIGR01752	flavodoxin
TIGR01753	flavodoxin
TIGR01754	putative ribonucleotide reductase-associated flavodoxin
TIGR01755	NAD(P)H:quinone oxidoreductase, type IV
TIGR01756	lactate dehydrogenase
TIGR01757	malate dehydrogenase, NADP-dependent
TIGR01758	malate dehydrogenase, NAD-dependent
TIGR01759	malate dehydrogenase
TIGR01760	phage tail tape measure protein, TP901 family, core region
TIGR01761	thiazolinyl imide reductase
TIGR01762	chlorinating enzyme
TIGR01763	malate dehydrogenase, NAD-dependent
TIGR01764	DNA binding domain, excisionase family
TIGR01765	transposase, putative, N-terminal domain
TIGR01766	transposase, IS605 OrfB family
TIGR01767	S-methyl-5-thioribose kinase
TIGR01768	geranylgeranylglyceryl phosphate synthase family protein
TIGR01769	phosphoglycerol geranylgeranyltransferase
TIGR01770	proton-translocating NADH-quinone oxidoreductase, chain N
TIGR01771	L-lactate dehydrogenase
TIGR01772	malate dehydrogenase, NAD-dependent
TIGR01773	GABA permease
TIGR01774	glycyl radical enzyme, PFL2/glycerol dehydratase family
TIGR01776	TonB-dependent lactoferrin and transferrin receptors
TIGR01777	TIGR01777 family protein
TIGR01778	TonB-dependent copper receptor
TIGR01779	TonB-dependent vitamin B12 receptor
TIGR01780	succinate-semialdehyde dehydrogenase
TIGR01781	Treponema denticola clustered lipoprotein
TIGR01782	TonB-dependent receptor
TIGR01783	TonB-dependent siderophore receptor
TIGR01784	conserved hypothetical protein
TIGR01785	TonB-dependent heme/hemoglobin receptor family protein
TIGR01786	TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein
TIGR01787	squalene/oxidosqualene cyclases
TIGR01788	glutamate decarboxylase
TIGR01789	lycopene cyclase
TIGR01790	lycopene cyclase family protein
TIGR01791	chorismate mutase
TIGR01792	urease, alpha subunit
TIGR01793	citrate (Si)-synthase, eukaryotic
TIGR01795	chorismate mutase
TIGR01796	chorismate mutase
TIGR01797	chorismate mutase
TIGR01798	citrate (Si)-synthase
TIGR01799	chorismate mutase
TIGR01800	2-methylcitrate synthase/citrate synthase II
TIGR01801	chorismate mutase
TIGR01802	chorismate mutase
TIGR01803	chorismate mutase related enzymes
TIGR01804	betaine-aldehyde dehydrogenase
TIGR01805	chorismate mutase
TIGR01806	putative chorismate mutase
TIGR01807	chorismate mutase
TIGR01808	chorismate mutase
TIGR01809	shikimate-5-dehydrogenase
TIGR01810	choline dehydrogenase
TIGR01811	succinate dehydrogenase or fumarate reductase, flavoprotein subunit
TIGR01812	succinate dehydrogenase or fumarate reductase, flavoprotein subunit
TIGR01813	flavocytochrome c
TIGR01814	kynureninase
TIGR01815	anthranilate synthase
TIGR01816	succinate dehydrogenase, flavoprotein subunit
TIGR01817	Nif-specific regulatory protein
TIGR01818	nitrogen regulation protein NR(I)
TIGR01819	2-phospho-L-lactate transferase
TIGR01820	anthranilate synthase component I
TIGR01821	5-aminolevulinic acid synthase
TIGR01822	glycine C-acetyltransferase
TIGR01823	aminodeoxychorismate synthase
TIGR01824	aminodeoxychorismate synthase, component I
TIGR01825	putative pyridoxal phosphate-dependent acyltransferase
TIGR01826	conserved hypothetical protein
TIGR01827	putative Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase, subunit C
TIGR01828	pyruvate, phosphate dikinase
TIGR01829	acetoacetyl-CoA reductase
TIGR01830	3-oxoacyl-[acyl-carrier-protein] reductase
TIGR01831	putative 3-oxoacyl-(acyl-carrier-protein) reductase
TIGR01832	2-deoxy-D-gluconate 3-dehydrogenase
TIGR01833	hydroxymethylglutaryl-CoA synthase
TIGR01834	poly(R)-hydroxyalkanoic acid synthase, class III, PhaE subunit
TIGR01835	hydroxymethylglutaryl-CoA synthase
TIGR01836	poly(R)-hydroxyalkanoic acid synthase, class III, PhaC subunit
TIGR01837	poly(hydroxyalkanoate) granule-associated protein
TIGR01838	poly(R)-hydroxyalkanoic acid synthase, class I
TIGR01839	poly(R)-hydroxyalkanoic acid synthase, class II
TIGR01840	esterase, PHB depolymerase family
TIGR01841	phasin family protein
TIGR01842	type I secretion system ATPase
TIGR01843	type I secretion membrane fusion protein, HlyD family
TIGR01844	type I secretion outer membrane protein, TolC family
TIGR01845	efflux transporter, outer membrane factor (OMF) lipoprotein, NodT family
TIGR01846	type I secretion system ATPase
TIGR01847	bacteriocin-type signal sequence
TIGR01848	polyhydroxyalkanoate synthesis repressor PhaR
TIGR01849	polyhydroxyalkanoate depolymerase, intracellular
TIGR01850	N-acetyl-gamma-glutamyl-phosphate reductase
TIGR01851	N-acetyl-gamma-glutamyl-phosphate reductase
TIGR01852	acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase
TIGR01853	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase LpxD
TIGR01854	UDP-2,3-diacylglucosamine diphosphatase
TIGR01855	imidazole glycerol phosphate synthase, glutamine amidotransferase subunit
TIGR01856	histidinol phosphate phosphatase, HisJ family
TIGR01857	phosphoribosylformylglycinamidine synthase
TIGR01858	class II aldolase, tagatose bisphosphate family
TIGR01859	fructose-1,6-bisphosphate aldolase, class II
TIGR01860	nitrogenase vanadium-iron protein, alpha chain
TIGR01861	nitrogenase iron-iron protein, alpha chain
TIGR01862	nitrogenase component I, alpha chain
TIGR01863	CRISPR-associated protein Cas8c/Csd1, subtype I-C/DVULG
TIGR01865	CRISPR-associated protein Cas9/Csn1, subtype II/NMEMI
TIGR01866	CRISPR type II-A/NMEMI-associated protein Csn2
TIGR01868	CRISPR-associated protein Cas5/CasD, subtype I-E/ECOLI
TIGR01869	CRISPR-associated protein Cas7/Cse4/CasC, subtype I-E/ECOLI
TIGR01870	CRISPR type III-A/MTUBE-associated protein Csm2
TIGR01873	CRISPR-associated endoribonuclease Cas2, subtype I-E/ECOLI
TIGR01874	CRISPR-associated protein Cas5, subtype I-A/APERN
TIGR01875	CRISPR-associated autoregulator DevR family
TIGR01876	CRISPR-associated protein Cas5, subtype I-C/DVULG
TIGR01877	CRISPR-associated endoribonuclease Cas6
TIGR01878	CRISPR type I-A/APERN-associated protein Csa5
TIGR01879	amidase, hydantoinase/carbamoylase family
TIGR01880	N-acyl-L-amino-acid amidohydrolase
TIGR01881	CRISPR type III-B/RAMP module-associated protein Cmr5
TIGR01882	peptidase T
TIGR01883	peptidase T-like protein
TIGR01884	CRISPR locus-related DNA-binding protein
TIGR01885	ornithine--oxo-acid transaminase
TIGR01886	dipeptidase PepV
TIGR01887	putative dipeptidase
TIGR01888	CRISPR type III-B/RAMP module-associated protein Cmr3
TIGR01889	staphylococcal accessory regulator family
TIGR01890	amino-acid N-acetyltransferase
TIGR01891	amidohydrolase
TIGR01892	acetylornithine deacetylase (ArgE)
TIGR01893	Xaa-His dipeptidase
TIGR01894	CRISPR type III-B/RAMP module RAMP protein Cmr1
TIGR01895	CRISPR-associated protein Cas5, subtype I-B/TNEAP
TIGR01896	CRISPR-associated protein Cas4/Csa1, subtype I-A/APERN
TIGR01897	CRISPR-associated protein, MJ1666 family
TIGR01898	CRISPR type III-B/RAMP module RAMP protein Cmr6
TIGR01899	CRISPR type III-A/MTUBE-associated RAMP protein Csm5
TIGR01900	succinyl-diaminopimelate desuccinylase
TIGR01901	filamentous hemagglutinin family N-terminal domain
TIGR01902	N-acetyl-ornithine/N-acetyl-lysine deacetylase
TIGR01903	CRISPR type III-A/MTUBE-associated RAMP protein Csm4
TIGR01904	Geobacter sulfurreducens CxxxxCH...CXXCH domain
TIGR01905	doubled CXXCH domain
TIGR01906	integral membrane protein TIGR01906
TIGR01907	CRISPR-associated protein Cas6/Cse3/CasE, subtype I-E/ECOLI
TIGR01908	CRISPR-associated protein Cas8a1/Cst1, subtype I-B/TNEAP
TIGR01909	C_GCAxxG_C_C family protein
TIGR01910	peptidase, ArgE/DapE family
TIGR01911	HesB-like selenoprotein
TIGR01912	Sec-independent protein translocase TatC
TIGR01913	phage recombination protein Bet
TIGR01914	CRISPR-associated protein Cas8a2/Csa4, subtype I-A/APERN
TIGR01915	NADPH-dependent F420 reductase
TIGR01916	coenzyme F420-0:L-glutamate ligase
TIGR01917	glycine reductase, selenoprotein B
TIGR01918	selenoprotein B, glycine/betaine/sarcosine/D-proline reductase family
TIGR01919	bifunctional HisA/TrpF protein
TIGR01920	shikimate kinase
TIGR01921	diaminopimelate dehydrogenase
TIGR01922	IMP cyclohydrolase
TIGR01923	O-succinylbenzoate-CoA ligase
TIGR01924	anti-sigma B factor
TIGR01925	anti-sigma F factor
TIGR01926	uncharacterized peroxidase-related enzyme
TIGR01927	o-succinylbenzoate synthase
TIGR01928	o-succinylbenzoate synthase
TIGR01929	naphthoate synthase
TIGR01930	acetyl-CoA C-acyltransferase
TIGR01931	sulfite reductase [NADPH] flavoprotein, alpha-component
TIGR01932	HflC protein
TIGR01933	HflK protein
TIGR01934	ubiquinone/menaquinone biosynthesis methyltransferase
TIGR01935	RraA family
TIGR01936	NADH:ubiquinone oxidoreductase, Na(+)-translocating, A subunit
TIGR01937	NADH:ubiquinone oxidoreductase, Na(+)-translocating, B subunit
TIGR01938	NADH:ubiquinone oxidoreductase, Na(+)-translocating, C subunit
TIGR01939	NADH:ubiquinone oxidoreductase, Na(+)-translocating, D subunit
TIGR01940	NADH:ubiquinone oxidoreductase, Na(+)-translocating, E subunit
TIGR01941	NADH:ubiquinone oxidoreductase, Na(+)-translocating, F subunit
TIGR01942	poly(A) polymerase
TIGR01943	electron transport complex, RnfABCDGE type, A subunit
TIGR01944	electron transport complex, RnfABCDGE type, B subunit
TIGR01945	electron transport complex, RnfABCDGE type, C subunit
TIGR01946	electron transport complex, RnfABCDGE type, D subunit
TIGR01947	electron transport complex, RnfABCDGE type, G subunit
TIGR01948	electron transport complex, RnfABCDGE type, E subunit
TIGR01949	predicted phospho-2-dehydro-3-deoxyheptonate aldolase
TIGR01950	redox-sensitive transcriptional activator SoxR
TIGR01951	transcription antitermination factor NusB
TIGR01952	NusA family KH domain protein, archaeal
TIGR01953	transcription termination factor NusA
TIGR01954	transcription termination factor NusA, C-terminal duplication
TIGR01955	transcription elongation factor/antiterminator RfaH
TIGR01956	NusG family protein
TIGR01957	NADH-quinone oxidoreductase, B subunit
TIGR01958	NADH-quinone oxidoreductase, E subunit
TIGR01959	NADH oxidoreductase (quinone), F subunit
TIGR01960	NAD(P)H dehydrogenase, subunit NdhF3 family
TIGR01961	NADH (or F420H2) dehydrogenase, subunit C
TIGR01962	NADH dehydrogenase (quinone), D subunit
TIGR01963	3-hydroxybutyrate dehydrogenase
TIGR01964	CO2 hydration protein
TIGR01965	VCBS repeat
TIGR01966	ribonuclease PH
TIGR01967	RNA helicase HrpA
TIGR01968	septum site-determining protein MinD
TIGR01969	cell division ATPase MinD
TIGR01970	ATP-dependent helicase HrpB
TIGR01971	NADH-quinone oxidoreductase, chain I
TIGR01972	proton-translocating NADH-quinone oxidoreductase, chain M
TIGR01973	NADH dehydrogenase (quinone), G subunit
TIGR01974	proton-translocating NADH-quinone oxidoreductase, chain L
TIGR01975	beta-aspartyl peptidase
TIGR01976	cysteine desulfurase family protein
TIGR01977	cysteine desulfurase family protein
TIGR01978	FeS assembly ATPase SufC
TIGR01979	cysteine desulfurase, SufS family
TIGR01980	FeS assembly protein SufB
TIGR01981	FeS assembly protein SufD
TIGR01982	2-polyprenylphenol 6-hydroxylase
TIGR01983	3-demethylubiquinone-9 3-O-methyltransferase
TIGR01984	2-polyprenyl-6-methoxyphenol 4-hydroxylase
TIGR01985	phasin
TIGR01986	glutathione synthetase
TIGR01987	nucleotidyltransferase substrate binding protein, HI0074 family
TIGR01988	ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family
TIGR01989	ubiquinone biosynthesis monooxygenase COQ6
TIGR01990	beta-phosphoglucomutase
TIGR01991	Fe-S protein assembly chaperone HscA
TIGR01992	PTS system, trehalose-specific IIBC component
TIGR01993	pyrimidine 5'-nucleotidase
TIGR01994	SUF system FeS assembly protein, NifU family
TIGR01995	PTS system, beta-glucoside-specific IIABC component
TIGR01996	PTS system, sucrose-specific IIBC component
TIGR01997	FeS assembly scaffold SufA
TIGR01998	PTS system, N-acetylglucosamine-specific IIBC component
TIGR01999	FeS cluster assembly scaffold IscU
TIGR02000	Fe-S cluster assembly protein NifU
TIGR02001	conserved hypothetical protein
TIGR02002	PTS system, glucose-specific IIBC component
TIGR02003	PTS system, IIBC component
TIGR02004	PTS system, maltose and glucose-specific IIBC component
TIGR02005	PTS system, alpha-glucoside-specific IIBC component
TIGR02006	cysteine desulfurase IscS
TIGR02007	ferredoxin, 2Fe-2S type, ISC system
TIGR02008	ferredoxin [2Fe-2S]
TIGR02009	beta-phosphoglucomutase family hydrolase
TIGR02010	iron-sulfur cluster assembly transcription factor IscR
TIGR02011	iron-sulfur cluster assembly protein IscA
TIGR02012	protein RecA
TIGR02013	DNA-directed RNA polymerase, beta subunit
TIGR02014	chlorophyllide reductase subunit Z
TIGR02015	chlorophyllide reductase subunit Y
TIGR02016	chlorophyllide reductase iron protein subunit X
TIGR02017	N-formylglutamate deformylase
TIGR02018	histidine utilization repressor
TIGR02019	bacteriochlorophyll 4-vinyl reductase
TIGR02020	2-vinyl bacteriochlorophyllide hydratase
TIGR02021	magnesium protoporphyrin O-methyltransferase
TIGR02022	formiminoglutamate deiminase
TIGR02023	geranylgeranyl reductase
TIGR02024	glutamate formiminotransferase
TIGR02025	magnesium chelatase, H subunit
TIGR02026	magnesium-protoporphyrin IX monomethyl ester anaerobic oxidative cyclase
TIGR02027	DNA-directed RNA polymerase, alpha subunit
TIGR02028	geranylgeranyl reductase
TIGR02029	magnesium-protoporphyrin IX monomethyl ester aerobic oxidative cyclase
TIGR02030	magnesium chelatase ATPase subunit I
TIGR02031	magnesium chelatase ATPase subunit D
TIGR02032	geranylgeranyl reductase family
TIGR02033	dihydropyrimidinase
TIGR02034	sulfate adenylyltransferase, large subunit
TIGR02035	D-serine ammonia-lyase
TIGR02036	D-serine deaminase transcriptional activator
TIGR02037	peptidase Do
TIGR02038	periplasmic serine peptidase DegS
TIGR02039	sulfate adenylyltransferase, small subunit
TIGR02040	transcriptional regulator PpsR
TIGR02041	sulfite reductase (NADPH) hemoprotein, beta-component
