UDPNACETYLGLUCOSAMACYLTRANS-ENZRXN	UDP-N-acetylglucosamine acyltransferase
ENZRXNQT-12529	8-methylthiooctylglucosinolate S-oxygenase
ENZRXNQT-10753	delta3, delta2-enoyl-CoA isomerase
ENZRXN-19084	xylan 1,3-&beta;-xylosidase
CYT-O-UBIOX-ENZRXN	cytochrome <i>bo</i> terminal oxidase
ENZRXN66-5962	glycogen phosphorylase
ENZRXN66-3375	phosphatidylinositol 4-kinase
ENZRXN-15264	stearoyl-[acp] reductase
ENZRXN-20019	2-ketoglutaramate amidase
ENZRXN0-251	L-cysteine:[protein cysteine] sulfurtransferase
ENZRXN-17901	acetoacetyl-CoA synthase
MALSYNG-ENZRXN	malate synthase G
ENZRXN-9501	mannose-1-phosphate phosphatase
ENZRXN1G-1401	cis,cis-delta11,29-3-oxo-C48:2-[acp] reductase
ENZRXN-9741	spermidine oxidase
ENZRXN-20973	<i>N,N'</i>-diacetyllegionaminate synthase
ENZRXN-12050	(gibberellin-12), 2-oxoglutarate:oxygen oxidoreductase
ENZRXN-3281	nicotine dehydrogenase
ENZRXN-17154	adenosine pentaphosphate phosphohydrolase
ENZRXN-16973	chromopyrrolic acid synthase
ENZRXN-2201	pentachlorophenol hydroxylase
ENZRXN-17521	diacylglycerol diphosphate phosphatase
ENZRXN66-6867	11-deoxycorticosterone hydroxylase
ENZRXN66-347	hydroxymethylglutaryl-CoA lyase
ENZRXN-17838	exotrigalacturonate lyase
ENZRXN-7905	indole-3-ketol side chain oxidase
ENZRXN-16008	calcium-activated outward-rectifying potassium channel
ENZRXN66-4132	4,4-dimethyl-5&alpha;-cholest-8-en-3-&beta;-ol,NAD(P)H:oxygen oxidoreductase (hydroxylating)
ENZRXN-13408	N1-acetylspermine oxidase
ENZRXN0-6164	examinopeptidase
ENZRXN-13305	pantothenate kinase
ENZRXN-19149	phosphatidylcholine:diacylglycerol cholinephosphotransferase
ENZRXN-18970	hydrogenase
ENZRXN-16978	dTDP-&alpha;-L-rhamnose:K252c rhamnosyl transferase
ENZRXN-19313	tRNA (adenine<sup>9</sup>-<i>N</i><sup>1</sup>)-methyltransferase
ENZRXN-14340	succinyl-CoA:CoA reansferase
ENZRXN-17219	pre-putrebactin cyclase
ENZRXN-21714	2-hydroxy-3-keto-5-methylthio-phosphopentene phosphatase
ENZRXN-18150	linoleate epoxygenase (cytochrome P450)
ENZRXN-17041	inositol-1,3,4,5-tetrakisphosphate 5-phosphatase
ENZRXN-15566	squalene,NADPH:oxygen oxidoreductase (2,3-epoxidizing)
ENZRXN-15233	(<i>R</i>)-3-hydroxydecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase
ENZRXN-18975	endo-1,4-&beta;-xylanase
ENZRXN-16696	3,4-dihydroxybenzoyl-citryl-spermidine:spermidine ligase
ENZRXN-18450	Sox enzyme complex
ENZRXN-21030	canadine synthase
ENZRXN-20844	N-acyl-aromatic-L-amino-acid amidohydrolase
ENZRXN-21410	pyridoxal reductase
ENZRXN-21097	grixazone A synthase
ENZRXN0-5301	glutamate-putrescine ligase
ENZRXN-1961	choloyl-CoA dehydrogenase
ENZRXN-17498	spermidine:4-coumaroyl-CoA N-acyltransferase
ENZRXN-3182	hypoxanthine (guanine) phosphoribosyltransferase
ENZRXN-19033	galactose reductase
ENZRXN-20851	4-nitrophenyl phosphate phosphatase
ENZRXN-20565	uvaol dehydrogenase
ENZRXN1F-2217	glutamate-1-semialdehyde aminotransferase
ENZRXN-8286	indole-3-lactate dehydrogenase
ENZRXN-721	methyl-coenzyme M reductase
ENZRXN-12748	lysophosphatidate acyltransferase
ENZRXN-11555	peptidylarginine deiminase
ENZRXN-8682	L-carnitine dehydrogenase
ENZRXN-19289	molybdopterin molybdotransferase
ENZRXN-15168	stearoyl-CoA hydrolase
ENZRXN-7305	kynureninase
ENZRXN-13383	sucrose phosphorylase
ENZRXN-20918	furfuryl thiol S-methyltransferase
ENZRXN-13948	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase
ENZRXN-18064	farnesoic acid carboxyl methyltransferase
ENZRXN-13017	glutathione-dependent sulfur dioxygenase
ENZRXN-1442	3-dehydroquinate dehydratase
ENZRXN-14218	4-oxalocrotonate decarboxylase
ENZRXN-21382	kaempferol 3-<i>O</i>-&beta;-<i>D</i>-galactoside-2"-<i>O</i>-glucosyltransferase
ENZRXN-14826	stemod-13(17)-ene synthase
ENZRXN-14487	AdoMet:nocardicin 3-amino-3-carboxypropyltransferase
ENZRXN-14222	2-nitrobenzoate nitroreductase
ENZRXN-17433	sterol 24C methyltransferase
ENZRXN66-152	UDP-galactose:&beta;-xylose &beta;-1,4-galactosyltransferase
ENZRXN-15540	(25<i>R</i>)-3&alpha;,7&alpha;,12&alpha;-trihydroxy-5&beta;-cholestanoyl-CoA racemase
ENZRXN-7724	glutamate dehydrogenase (NAD-dependent)
ENZRXN0-7331	phenylalanine transaminase
ENZRXN-12725	pyruvate dehydrogenase
ENZRXN-2845	CYP79F2 homomethionine monooxygenase
ENZRXN-16762	arginine decarboxylase
ENZRXN-16570	cathepsin K
ENZRXN-16575	ATP:adenosylcobinamide phosphotransferase
ENZRXNQT-5744	beta-glucosidase
ENZRXN-10986	myo-inositol-1,3,4,6-tetrakisphosphate 5-kinase
ENZRXN-16825	aromatic polyketide synthase
ENZRXN-1922	2-aminobenzoyl-CoA reductase
ENZRXN-19581	pentalenene oxygenase
ENZRXN-14278	7,8-dihydrobiopterin:NADP+ oxidoreductase
INOPHOSPHOR-ENZRXN	inosine phosphorylase
ENZRXN-14804	tetrahydroprotoberberine cis-N-methyltransferase
ENZRXN-20433	cocaine:ethanol transesterase
ENZRXN-12331	L-phenylalanine:2-oxoglutarate aminotransferase
ENZRXN0-6495	23S rRNA m<sup>2</sup>A2503 methyltransferase
ENZRXN-20629	orcinol <i>O</i>-methyltransferase
ENZRXN-20429	malate dehydrogenase (NAD)
ENZRXN0-1021	1-deoxyxylulose-5-phosphate synthase
ENZRXN-20694	geranyl diphosphate 2-<i>C</i>-methyltransferase
ENZRXN-21295	linalool synthase
ENZRXN-17796	phenylacetohydroximoyl-glutathione gamma-glutamyl peptidase
ENZRXNQT-4394	sucrose synthase
ENZRXN-12984	dihydromacarpine:oxygen oxidoreductase
ENZRXN-16639	presilphiperfolan-8&beta;-ol synthase
ENZRXN-13838	4-coumaroyl-CoA:tyramine N-(hydroxycinnamoyl)transferase
ENZRXN-18684	soladodine glucosyltransferase
ENZRXN-15449	UDP-glucose:4-amino-2,6-dinitrotoluene-glucosyltransferase
ENZRXN-14015	uroporphyrin-III (<i>C</i><sup>7</sup>)-methyltransferase
ENZRXN-13833	sinapoyl-CoA:tyramine N-(hydroxycinnamoyl)transferase
ENZRXN66-5430	<i>N</i>-acetylglucosaminyl-proteoglycan 4-&beta;-glucuronosyltransferase
ENZRXN-21670	cyanidin 3-<i>O</i>-glucoside 7-<i>O</i>-glucosyltransferase (acyl-glucose dependent)
ENZRXN-14079	cobalt-precorrin-5B (<i>C<sup>1</sup></i>)-methyltransferase
ENZRXN-9926	mycothiol <i>S</i>-conjugate amidase
ENZRXN-12646	leucocyanidin:NADP+ 4-oxidoreductase
ENZRXN4-153	vibriobactin-specific isochorismate synthase
ENZRXN0-6624	23S rRNA 2'-<i>O</i>-ribose C2498 methyltransferase
ENZRXN-20495	ornithine carbamoyltransferase
ENZRXN-6202	isethionate dehydrogenase
ENZRXN-19471	retinyl-ester 13-<i>cis</i>-isomerohydrolase
ENZRXN0-4481	proline aminopeptidase
ENZRXN66-18129	straight chain fatty aldehyde dehydrogenase
ENZRXN3O-94	pyruvate decarboxylase
ENZRXN66-5080	Long-chain-fatty-acid--CoA ligase ACSBG1
ENZRXN-17113	phosphatidylinositol 4-phosphate 4-phosphatase
ENZRXN66-19632	dihydroceramide synthase
ENZRXN-10247	glutathione-toxin conjugate hydrolase
ENZRXN-14723	validone kinase
ENZRXN1G-760	trans-delta2-cis,cis-delta17,35-C54:3-[acp]:NADH+ oxidoreductase (B-specific)
HISTOLDEHYD-ENZRXN	histidinol dehydrogenase
ENZRXN-13897	malonate-semialdehyde dehydrogenase
ENZRXN-15112	homofuraneol oxidoreductase
ENZRXN-17088	guanine deaminase
ENZRXN-21561	D-xylitol dehydrogenase
ENZRXN-11213	myo-inositol-tetrakisphosphate phosphohydrolase
ENZRXN-10241	&gamma;-glutamyl transpeptidase
ENZRXN-12196	caffeoyl-4'-hydroxyphenyllactate 3'-hydroxylase
ENZRXN-19104	squalene synthase
ENZRXN-16164	5-chloro-2-methyl-dienelactone hydrolase
ENZRXN-11508	<i>myo</i>-inositol oxygenase
ENZRXNQT-12506	4-methylthiobutyldesulfoglucosinolate sulfotransferase
ENZRXN-17769	methylthioalkylmalate dehydrogenase
ENZRXN66-1007	hydroxymethylglutaryl-CoA synthase
ENZRXN-17390	hydroxylamine oxidoreductase
ENZRXN-19081	camelliol C synthase
ENZRXN-18576	5-methylthioadenosine deaminase
ENZRXN-18299	<i>ent</i>-kaurene synthase
TREHALAPERI-ENZRXN	trehalase
ENZRXN-12393	chlorophyllase
ENZRXN-12191	guanosine nucleosidase
ENZRXN-20991	isoquercitrin-3-<i>O</i>-glucosidase (f3gII)
ENZRXN-12454	GDP-L-gulose-3''-epimerase
ENZRXN-9650	&beta;-alanine aminotransferase
ENZRXN-21246	5-methylthioribulose-1-phosphate isomerase
ENZRXN-20970	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
ENZRXN-21646	eriodictyol 4-reductase
ENZRXN-10564	succinate semialdehyde dehydrogenase
ENZRXN-5681	presqualene diphosphate:farnesyl-diphosphate farnesyltransferase
ENZRXN-20153	glyoxylate reductase
ENZRXN-12900	lysine 5,6-aminomutase
ENZRXN-18746	L-2,4-diketo-3-deoxyrhamnonate hydrolase
ENZRXN-18571	3',5'-diiodothyronine 5'-deiodinase
ENZRXN-8025	indoleacetamide hydrolase
ENZRXN-12606	3-hydroxyacyl-CoA epimerase
ENZRXN-18812	phosphoglucan, water dikinase
ENZRXN-7902	indole acetaldehyde:oxygen 2-oxidoreductase
ENZRXN66-4023	4&alpha;-formyl-4&beta;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol,NAD(P)H:oxygen oxidoreductase (hydroxylating
ENZRXN1G-245	3-oxo-stearoyl-[acp] synthase
ENZRXN0-4101	
ENZRXN-12259	2-methylacetoacetyl-CoA thiolase
ENZRXN-3962	methane monooxygenase
ENZRXN-14990	(iso)-dihydrocarvone monooxygenase
ENZRXN-14649	emodin dianthrone oxidative coupling protein
ENZRXN-6390	UDP-glucose:benzyladenine 7-N-glucosyltransferase
ENZRXN-563	dibenzothiophene monooxygenase
ENZRXN-14337	4-hydroxybutyryl-CoA dehydratase
ENZRXN-14363	dihydroclavaminate,2-oxoglutarate:oxygen oxidoreductase(desaturating)
ENZRXN-6586	isoflavone-7-O-glucosyltransferase
ENZRXN-16050	<i>N</i>-(3-hydroxybutanoyl)-L-homoserine lactone lactonohydrolase
ENZRXN-17019	GMP 5'-nucleotidase
ENZRXN-13545	(-)-(4S)-limonene synthase
ENZRXN-15082	sterigmatocystin <i>O</i>-methyltransferase
ENZRXN-18631	4&alpha;-methyl-5&alpha;-cholesta-8,14,24-trien-3&beta;-ol &Delta;14-sterol reductase
ENZRXNQT-10743	midchain alkane hydroxylase
ENZRXN-16693	3-dehydroshikimate dehydratase
GLUCARDEHYDRA-ENZRXN	<i>D</i>-glucarate dehydratase
ENZRXN3O-1016	homoisocitrate hydro-lyase
ENZRXN1G-184	C52-&alpha;-meroacyl-[acp] synthase
ENZRXN-18198	5-chloro-5-deoxy-D-ribonate dehydratase
ENZRXN-16716	seryl-tRNA<sup>ser</sup> synthetase
ENZRXN-15691	1,2,4-trichlorobenzene dihydrodiol dehydrogenase
ENZRXN3O-1361	3-dehydrosphinganine reductase
ENZRXN-19015	&alpha;-L-arabinofuranosidase
ENZRXN-17363	ginsenosidase
ENZRXN-606	UDPG:coniferyl alcohol glucosyltransferase
ENZRXN-9481	mannose 6-phosphate reductase
ENZRXN-20562	uvaol dehydrogenase
ENZRXN-20039	tetrahydrodaidzein reductase
ENZRXN-19746	linoleate 8R-lipoxygenase
ENZRXN-17686	phenylalanine ammonia lyase
ENZRXN-16220	2,4,5-trichlorophenoxyacetate hydroxylase
ENZRXN-16046	3-oxododecanoyl-L-homoserine lactone acylase
ENZRXN-20583	steviolmonoside glucosyltransferase
ENZRXN-16384	indole-3-acetyl-tyrosine synthetase
ENZRXN-20897	N-acetyl-&beta;-glucosaminidase
ENZRXN66-3377	phosphatidylinositol 4-kinase
ENZRXN-13945	sorbitol-6-phosphate dehydrogenase
ENZRXN-21222	isorhamnetin 3-<i>O</i>-glucoside 4"-<i>O</i>-coumaroyltransferase
ENZRXN1G-4617	cis-methoxy-C59-meroacyl-AMP ligase
ENZRXN-3328	factor-independent urate hydroxylase
3-OXOACYL-ACP-REDUCT-ENZRXN	3-oxoacyl-[ACP] reductase
ENZRXN0-2703	peptidyl-prolyl <i>cis-trans</i> isomerase
ENZRXN-18362	gallate:oxygen 3,4-oxidoreductase
ENZRXN-18190	L-cysteate sulfo-lyase
ENZRXN-13972	4-aminoimidazole deaminase
ENZRXN-16975	K252c synthase
ENZRXN-20286	3-hydroxy-behenoyl-CoA dehydratase
ENZRXN66-1504	androsterone dehydrogenase
ENZRXN-762	coB-coM heterodisulfide oxidoreductase
ENZRXN-1343	citramalyl-CoA lyase
ENZRXN-12581	acyl-CoA oxidase
ENZRXN-16111	6-chlorohydroxyquinol-1,2-dioxygenase
ENZRXN-11901	spermine synthase
ENZRXN-17265	chlorophyll b reductase
ENZRXN-18972	tannase
ENZRXN-20215	methylmalonyl-CoA epimerase
ENZRXN-20031	pesudooxynicotine oxidase
ENZRXN-10983	myo-inositol-1,2,3,4,6-heptakisphosphate 5-kinase
ENZRXN66-1637	ADP reductase
ENZRXN-4702	1,3-propanediol dehydrogenase
ENZRXN-15587	mannuronosyl transferase
ENZRXN-14261	taxadienol acetyl transferase
ENZRXN-13150	verbascose synthase
ENZRXN-14621	4-coumarate coenzyme A ligase
ENZRXN-18253	streptothricin F hydrolase
ENZRXN-20849	acetyl-CoA deacylase
ENZRXN-12329	3-(indol-3-yl)pyruvate carboxy-lyase
ENZRXN-21140	patuletin 7-<i>O</i>-glucosyltransferase
ENZRXN-425	precorrin-6B (<i>C</i><sup>5,15</sup>) methyltransferase
ENZRXN-332	(S)-3-hydroxybutanoyl-CoA hydratase
ENZRXN-19637	<i>N,N'</i>-diacetylchitobiose phosphorylase
ENZRXN-11021	3-<i>O</i>-methylgallate dioxygenase
ENZRXN0-7521	23S rRNA m<sup>7</sup>G2069 methyltransferase
ENZRXN-13667	(<i>E</i>)-&beta;-farnesene synthase
ENZRXN-16622	dihydrolipoyllysine-residue succinyltransferase
ENZRXNMETA-19604	1-deoxy-11-oxopentalenate monooxygenase (neopentalenolactone D producing)
ENZRXN-20101	D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-forming)
ENZRXN-723	methionine adenosyltransferase
ENZRXN-18681	Na(+)-translocating NADH-quinone reductase
ENZRXN-11648	pyrazolidine synthase
PGLUCONDEHYDRAT-ENZRXN	phosphogluconate dehydratase
ENZRXN-89	gibberellin A1,2-oxoglutarate:oxygen oxidoreductase
ENZRXN-13604	(<i>Z,E</i>)-germacrene B synthase
ENZRXN-13425	citryl-coA lyase
ENZRXN-12352	fumarase
ENZRXN-15892	ATP synthase
ENZRXN-20475	daphnetin 8-<i>O</i>-methyltransferase
ENZRXN-1422	IMP dehydrogenase
ENZRXN-6184	isoflavone reductase
ENZRXN-9324	formate:tetrahydropteroylpolyglutamate ligase
ENZRXN-3625	2-pyrone-4,6-dicarboxylate hydrolase
ENZRXN-13036	&beta;-carotene 4-ketolase
ENZRXN-1792	phospholipase D
ENZRXN-14529	citrate synthase
ENZRXN-15753	2-chloro-<i>trans</i>-dienelactone isomerase
ENZRXN-15582	25-hydroxyvitamin D<sub>3</sub> 1&alpha;-hydroxylase
ENZRXN-18704	linolenate epoxidase
ENZRXN-16572	cathepsin D
ENZRXN-19887	succinate-semialdehyde dehydrogenase
ENZRXN1G-745	cis,cis-delta19,37-3-oxo-C56:2-[acyl-carrier protein] reductase
ENZRXN-13878	maltose phosphorylase
ENZRXN0-7362	peroxyureidoacrylate amido hydrolase
ENZRXN66-2907	protein kinase
ENZRXN-13492	palustradiene synthase
ENZRXN-2282	1-sucrose:sucrose fructosyltransferase
ENZRXN-20735	medium-chain acyl-CoA dehydrogenase
ENZRXN-20430	aryl-sulfate sulfotransferase
ENZRXN-19811	dihdyroxyacetone kinase
ENZRXN-19632	<i>N</i>-acetylglucosamine-6-phosphate deacetylase
ENZRXN-16161	3,4-dichlorotoluene dihydrodiol dehydrogenase
ENZRXN-6267	benzyl-desulfoglucosinolate sulfotransferase
CDPDIGLYSYN-ENZRXN	CTP:2,3,4-saturated L-phosphatidate cytidylyltransferase
LACTALDREDUCT-ENZRXN	L-1,2-propanediol oxidoreductase
ENZRXN4FS-9	N-methylphosphoethanolamine N-methyltransferase
ENZRXN0-6200	<i>S</i>-lactoylglutathione hydrolase
ENZRXN-16948	(+)-(&alpha;<i>S</i>,&beta;<i>S</i>)-guaiacylglycerol-&beta;-guaiacyl ether dehydrogenase
ENZRXN-15644	<i>trans</i>-dienelactone hydrolase
ENZRXN-13835	feruloyl-CoA:tyramine N-(hydroxycinnamoyl)transferase
ENZRXN-18294	pantoate kinase
ENZRXN8J2-1291	thiamin pyrophosphokinase
ADOMET-DMK-METHYLTRANSFER-ENZRXN	S-adenosylmethionine:2-demethylquinol-8 methyltransferase
ENZRXN-1162	palmitate &omega;-hydroxylase
ENZRXN-17815	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase
ENZRXN1G-90	trans-delta2-cis,cis-delta7,25-C44:3-[acp]:NADH+ oxidoreductase (B-specific)
ENZRXN-15253	palmitoyl-[acp] reductase
ENZRXN-12026	ent-kaur-16-ene,NADPH:oxygen oxidoreductase (hydroxylating)
ENZRXN-1043	
ENZRXN-18942	cellulase
ENZRXN-19696	<i>N,N'</i>-diacetylchitobiose deacetylase
ENZRXN3O-958	succinate semialdehyde dehydrogenase
ENZRXN-20148	L-glutamine:5-amino-2,3,4-trihydroxycyclohexanone aminotransferase
ENZRXN-21689	UDP-glucose:cyanidin 3-<i>O</i>-&beta;-<i>D</i>-glucosyltransferase
ENZRXN-17519	diacylglycerol pyrophosphate phosphatase
ENZRXN-14121	2-desacetyl-2-hydroxyethyl bacteriochlorophyllide <i>a</i> dehydrogenase
ENZRXN-11963	gibberellin A4,2-oxoglutarate:oxygen oxidoreductase
ENZRXN-13030	&beta;-ring carotenoid 3-hydroxylase
ENZRXN-16182	maleylacetate reductase
ENZRXN-13277	icosanoyl-CoA desaturase
ENZRXN-12239	2-keto-3-methyl-valerate dehydrogenase
ENZRXN-10244	5-oxo-L-prolinase
ENZRXN-3941	alkane hydroxylase
ENZRXN-20819	exoglucanase
ENZRXN-16114	L-histidine decarboxylase
ENZRXN0-4823	murein DD-endopeptidase
ENZRXN-19310	phosphatidyl-<i>N</i>-dimethylethanolamine <i>N</i>-methyltransferase
ENZRXN66-2130	thymidine kinase
ENZRXN-13212	1-18:2-2-16:0-phosphatidylglycerol desaturase
ENZRXN0-7354	Ap<sub>4</sub>A synthetase
ENZRXN-18316	GlcA-&beta;-(1,2)-D-Man-&alpha;-(1,3)-D-Glc-&beta;-(1,4)-D-Glc-&alpha;-1-diphosphoundecaprenol 4-&beta;-mannosyltransferase
ENZRXN-12193	adenosine nucleosidase
ENZRXN-18426	&delta;-guaiene synthase
ENZRXN-13542	(+)-&beta;-pinene synthase
ENZRXN-18614	1-deoxy-D-xylulose-5-phosphate synthase
ENZRXN-15134	hexanoyl-[acp] reductase
ENZRXN-7012	<i>N</i>-acetyl-&alpha;-aminoadipate kinase
ENZRXN-18256	baicalein 7-<i>O</i>-glucuronosyltransferase
ENZRXN-21409	scopolin &beta;-glucosidase
ENZRXN-12497	3-ketosphinganine reductase
ENZRXN-18573	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--D-lysine ligase
ENZRXN0-765	6-phospho-&beta;-D-glucosyl-(1,4)-D-glucose glucohydrolase
KETOGLUTREDUCT-ENZRXN	&alpha;-ketoglutarate reductase
ENZRXN-15688	(+)-5-chloromuconolactone dehalogenase
ENZRXN-20171	pyrogallol dioxygenase
ENZRXN1A0-6319	5-deoxy-dihydrokalafungin monooxygenase
ENZRXN-17412	glycerate 2-kinase
ENZRXN-5907	dimethylallyl-diphosphate:AMP dimethylallyltransferase
ENZRXN-12746	antheraxanthin de-epoxidase
ENZRXN-14197	2-amino-5-chlorophenol 1,6-dioxygenase
ENZRXN-20104	4-oxalocrotonate tautomerase
ENZRXN-5642	farnesyl-diphosphate:farnesyl-diphosphate farnesyltransferase
ENZRXN-19743	linoleate 9<i>R</i>-lipoxygenase
ENZRXN-16867	L-phenylalanine decarboxylase
QUINOPRIBOTRANS-ENZRXN	quinolinate phosphoribosyltransferase (decarboxylating)
ENZRXN-1781	carbon monoxide dehydrogenase
ENZRXN-19196	dTDP-4-dehydro-6-deoxy-D-glucose 2,3-dehydratase
ENZRXN-4041	UDP-glucose:indole-3-acetate b-D-glucosyltransferase
ENZRXN-14824	<i>ent</i>-pimara-8(14),15-diene synthase
ENZRXN-18042	chondro-4-sulfatase
ENZRXN1G-3829	trans-delta20-39-hydroxy-40-methyl-C60:1-[acp] synthase
ENZRXN-16547	endopolygalacturonase
ENZRXN-363	F<SUB>420</SUB>-dependent methylene-H<SUB>4</SUB>SPT dehydrogenase
ENZRXN1G-215	cis-docos-3-enoyl-[acyl-carrier protein]:malonyl-[acyl-carrier protein] C-acyltransferase (decarboxylating)
3-NUCLEOTID-ENZRXN	3'-nucleotidase
ENZRXN-21267	zeaxanthin 2,2'-&beta;-hydroxylase
ENZRXNQT-5727	sucrose synthase
ENZRXN-18855	myricetin <i>O</i>-methyltransferase
ENZRXN-17975	6-deoxotyphasterol C-23 hydroxylase
ENZRXN-21684	gluconate 2-dehydrogenase
ENZRXN-13563	3-tolualdehyde dehydrogenase
ENZRXN-2787	<I>N</I><SUP>1</SUP>-((5'-phosphoribosyl)-formimino)-5-iminoimidazole-4-carboxyamide ribonucleotide isomerase
ENZRXN-16090	methylglyoxal reductase
ENZRXN-16048	octanoyl-L-homoserine lactone acylase
ENZRXN-11898	guanidinobutyrase
ENZRXN-20405	4-coumarate-CoA ligase
ENZRXN-13495	isopimara-7,15-diene synthase
ENZRXN-12623	3,5-dihydroxy-6,7-didehydro-12'-apo-&beta;-caroten-12'-al dioxygenase
ENZRXN-9982	5-methyltetrahydropteroyltriglutamate:homocysteine S-methyltransferase
ENZRXN-6882	(<i>E</i>)-&beta;-ocimene synthase
ENZRXN-2501	UDP-glucose:1,4-&beta;-D-glucan 4-&beta;-D-glucosyltransferase
ENZRXN0-4742	quinone reductase
ENZRXN-15711	2-chloromaleylacetate:NAD(H)+ oxidoreductase
ENZRXN-18195	5'-chloro-5'-deoxyadenosine synthase
ENZRXN0-6425	tartronate semialdehyde reductase
ENZRXN-13147	&alpha;-D-galactosyl-(1-3)-1D-myo-inositol:raffinose galactosyltransferase
ENZRXN-18236	salicylyl-CoA synthase
ENZRXN-14673	methylmalonyl-CoA mutase
ENZRXN-13805	S-adenosyl-L-methionine:columbamine O-methyltransferase
ENZRXN-15647	3-chlorobenzoate,NADH:oxygen oxidoreductase (1,2-hydroxylating)
ENZRXN66-5402	glucuronylgalactosylproteoglycan 4-&beta;-<i>N</i>-acetylgalactosaminyltransferase
ENZRXN-16425	luteolin 7-O-&beta;-glucosyltransferase
ENZRXN-20033	daidzein reductase
ENZRXN0-6275	peptidyl-prolyl <i>cis-trans</i> isomerase
ENZRXN-15129	dhurrinase2 &beta;-glucosidase
ENZRXN0-7509	hydrogen sulfide synthesis
ENZRXN-19764	&gamma;-linolenate elongase
ENZRXN-15424	UDP-glucose:2-hydroxylamino-4,6-dinitrotoluene-O-glucosyltransferase
ENZRXNQT-12458	CYP81F2 monooxygenase
ENZRXN-20083	sinapyl alcohol dehydrogenase
ENZRXN-17111	inositol-3,4-bisphosphate 4-phosphatase
ENZRXN-20013	trehalase
ENZRXN-19699	cysteine synthase
ENZRXN-3322	nitroglycerin reductase
PEPSYNTH-ENZRXN	phosphoenolpyruvate synthetase
ENZRXN-20325	galactosaminyl-&alpha;1,3-<i>N,N'</i>-diacetylbacillosaminyl-&alpha;1-diphospho-<i>di-trans,octa-cis</i>-undecaprenol synthase
ENZRXN-15336	acidic leucine aminopeptidase
ENZRXN-17407	mycothione reductase
ENZRXN-9564	dihydrofolate reductase/thymidylate synthase
ACETOLACTREDUCTOISOM-ENZRXN	2,3-dihydroxy-isovalerate:NADP+ oxidoreductase (isomerizing)
ENZRXN-19101	pyrrole 2-carboxylase
ENZRXN-19445	<i>trans</i>-2-hexenoyl-CoA reductase
ENZRXN-3541	4-coumaroyl-CoA:quinate O-(hydroxycinnamoyl)transferase
ENZRXN3O-532	phytosphingoid 1-phosphate phsophatase
ENZRXN-11856	NADP<sup>+</sup>-benzaldehyde dehydrogenase
ENZRXN-13427	naringenin chalcone 4'-<i>O</i>-glucosyltransferase
ENZRXN-17917	mannitol-1-phosphate dehydrogenase
ENZRXN66-3904	dihydrolipoyl dehydrogenase
ENZRXN-20989	isoquercitrin-3-<i>O</i>-glucosidase (f3gI)
ENZRXN-5042	gluconate dehydratase
ENZRXN-17587	D-alanine--D-serine ligase
ENZRXN-19191	tRNA (N<sup>2</sup>-methylguanine<sup>10</sup>-N<sup>2</sup>)-methyltransferase
ENZRXN-11920	uroporphyrinogen III synthase
ENZRXN-21539	alpha-glucosidase
ENZRXN-13474	&alpha;-linolenate:O<sub>2</sub> 9<i>S</i>-oxidoreductase
ENZRXN-15584	salicylate hydroxylase
ENZRXN-2262	2-chloroethanol dehydrogenase
ENZRXN-10042	glutathione peroxidase
ENZRXN-13102	tropinone reductase (TR-II)
ENZRXN-16994	unsaturated archaetidylinositol phosphate synthase
ENZRXN-801	8-amino-7-oxononanoate synthase
ENZRXN-13713	ATP:D-fructose 6-phosphotransferase
ENZRXN-19381	santalene synthase
ENZRXN-21262	Mn(III) oxidase
ENZRXN-13172	1-18:2-2-16:0-monogalactosyldiacylglycerol desaturase
ENZRXN-19634	pheophytinase a
THIOESTERII-ENZRXN	acyl-CoA thioesterase
ENZRXN0-6197	peptidoglycan D,D-transpeptidase
ENZRXN-15626	<i>cis</i>-dienelactone hydrolase
ENZRXN-18992	but-1-en-3-one reductase
ENZRXN-12160	7-hydroxychlorophyllide a  oxygenase
ENZRXN0-7432	dihydropyrimidine dehydrogenase
ENZRXN-14361	deoxyamidinoproclavaminate,2-oxoglutarate:oxygen oxidoreductase(3-hydroxylating)
ENZRXN-19926	dTDP-L-mycarosyl: erythronolide B mycarosyltransferase
ENZRXN-1163	oleate &omega;-hydroxylase
ENZRXN-21469	baicalein peroxidase 1
ENZRXN-12619	zeaxanthin dioxygenase
ENZRXN-15250	decanoyl-[acp] reductase
ENZRXN0-7595	23S rRNA m<sup>6</sup>A2030 methyltransferase
ENZRXN-12872	methylcobamide:CoM methyltransferase
ENZRXN-20872	malate dehydrogenase (NAD)
ENZRXN-19678	3,24-dioxocholest-4-en-27-oyl-CoA:coenzyme A propanoyl-transferase
ENZRXN-16714	&delta;-selinene-like synthase
ENZRXN-18547	apo-4'-lycopenoate cyclase
NANK-ENZRXN	<i>N</i>-acetylmannosamine kinase
ENZRXN-13032	&beta;-ring carotenoid 4-ketolase
ENZRXN-17516	(-)-endo-fenchol cyclase
ENZRXN3O-1653	ethanol dehydrogenase
